"9432 東証1部 日本電信電話(株)（情報・通信）","","","","",""
"2017-10-10","5150","5163","5107","5144","5034800","5144"
"2017-10-11","5160","5188","5144","5180","3690900","5180"
"2017-10-12","5200","5220","5176","5220","3448700","5220"
"2017-10-13","5220","5265","5214","5249","4610100","5249"
"2017-10-16","5255","5315","5251","5257","3657000","5257"
"2017-10-17","5265","5289","5246","5274","2935700","5274"
"2017-10-18","5300","5335","5294","5322","3065400","5322"
"2017-10-19","5343","5344","5304","5317","3205700","5317"
"2017-10-20","5316","5336","5293","5303","3267000","5303"
"2017-10-23","5338","5339","5265","5272","3747800","5272"
"2017-10-24","5290","5316","5290","5301","3643100","5301"
"2017-10-25","5337","5349","5294","5317","4867600","5317"
"2017-10-26","5316","5374","5308","5370","3572400","5370"
"2017-10-27","5400","5472","5394","5446","4974000","5446"
"2017-10-30","5418","5486","5418","5471","12426200","5471"
"2017-10-31","5455","5486","5425","5473","3939100","5473"
"2017-11-01","5500","5562","5488","5549","4594200","5549"
"2017-11-02","5556","5584","5524","5565","3412200","5565"
"2017-11-06","5560","5638","5557","5635","4327600","5635"
"2017-11-07","5679","5750","5650","5750","5274600","5750"
"2017-11-08","5740","5772","5726","5769","4022400","5769"
"2017-11-09","5787","5838","5708","5776","5383000","5776"
"2017-11-10","5681","5781","5677","5752","3883900","5752"
"2017-11-13","5849","5890","5773","5773","4021700","5773"
"2017-11-15","5777","5785","5709","5714","4579000","5714"
"2017-11-16","5684","5864","5672","5817","4248000","5817"
"2017-11-17","5852","5853","5730","5744","4341200","5744"
"2017-11-20","5752","5778","5698","5766","3403800","5766"
"2017-11-21","5837","5858","5799","5803","3064000","5803"
"2017-11-22","5829","5854","5761","5769","3175700","5769"
"2017-11-24","5752","5875","5737","5865","3342600","5865"
"2017-11-27","5827","5842","5802","5827","2807100","5827"
"2017-11-28","5815","5833","5784","5824","3266500","5824"
"2017-11-29","5858","5895","5834","5865","3129200","5865"
"2017-11-30","5865","5905","5821","5879","4391000","5879"
"2017-12-01","5895","5904","5732","5761","5470300","5761"
"2017-12-04","5761","5799","5724","5733","3574600","5733"
"2017-12-05","5720","5842","5705","5820","4668600","5820"
"2017-12-06","5845","5855","5807","5815","4282100","5815"
"2017-12-07","5817","5830","5787","5794","4181400","5794"
"2017-12-08","5694","5777","5676","5769","6061300","5769"
"2017-12-11","5748","5763","5706","5754","1896800","5754"
"2017-12-12","5765","5766","5692","5700","2807200","5700"
"2017-12-13","5720","5733","5677","5692","2481500","5692"
"2017-12-14","5677","5727","5625","5656","3160200","5656"
"2017-12-15","5495","5496","5345","5351","9737000","5351"
"2017-12-18","5262","5397","5257","5375","7691300","5375"
"2017-12-19","5441","5441","5351","5355","3174100","5355"
"2017-12-20","5367","5368","5304","5346","3617200","5346"
"2017-12-21","5341","5386","5341","5382","2247100","5382"
"2017-12-22","5400","5411","5343","5359","2790200","5359"
"2017-12-25","5345","5393","5333","5377","1673400","5377"
"2017-12-26","5364","5386","5346","5355","1829500","5355"
"2017-12-27","5352","5368","5336","5350","2185300","5350"
"2017-12-28","5331","5346","5304","5319","1576900","5319"
"2017-12-29","5319","5336","5292","5301","1641100","5301"
