"9432 東証1部 日本電信電話(株)（情報・通信）","","","","",""
"date","start_value","high_value","low_value","end_value","yield","adjumstment_value"
"2017-01-04","4924","5034","4923","5010","4809300","5010"
"2017-01-05","5010","5085","5002","5057","4847100","5057"
"2017-01-06","4985","5084","4981","5073","3730100","5073"
"2017-01-10","5065","5091","5035","5075","4637900","5075"
"2017-01-11","5087","5087","5044","5047","4323800","5047"
"2017-01-12","4988","5025","4971","4990","4455100","4990"
"2017-01-13","4980","5034","4959","5031","3493400","5031"
"2017-01-16","5020","5044","5004","5028","3090200","5028"
"2017-01-17","5028","5028","4935","4970","3841400","4970"
"2017-01-18","4980","5001","4951","4986","3828200","4986"
"2017-01-19","5075","5132","5056","5069","4618900","5069"
"2017-01-20","5079","5135","5057","5101","4323100","5101"
"2017-01-23","5050","5051","4969","4986","4776900","4986"
"2017-01-24","4960","5046","4936","5020","3376100","5020"
"2017-01-25","5050","5065","4978","4999","3395200","4999"
"2017-01-26","5013","5035","4967","4976","3357600","4976"
"2017-01-27","4977","5026","4965","4973","3123800","4973"
"2017-01-30","4925","4949","4893","4945","3656000","4945"
"2017-01-31","4949","5015","4949","4979","4038600","4979"
"2017-02-01","4925","4968","4922","4958","2362000","4958"
"2017-02-02","4868","4921","4848","4858","3619200","4858"
"2017-02-03","4865","4917","4842","4873","3150700","4873"
"2017-02-06","4882","4899","4844","4852","2563300","4852"
"2017-02-07","4828","4896","4828","4874","2221100","4874"
"2017-02-08","4865","4871","4811","4829","2979500","4829"
"2017-02-09","4815","4920","4815","4863","3687600","4863"
"2017-02-10","4933","4966","4907","4957","3194000","4957"
"2017-02-13","4900","4902","4853","4870","5669300","4870"
"2017-02-14","4870","4878","4758","4760","5788000","4760"
"2017-02-15","4771","4777","4736","4767","3199300","4767"
"2017-02-16","4750","4767","4703","4717","4254700","4717"
"2017-02-17","4701","4721","4685","4711","2519900","4711"
"2017-02-20","4711","4776","4686","4771","3068400","4771"
"2017-02-21","4765","4765","4722","4727","3015600","4727"
"2017-02-22","4727","4748","4721","4735","3775300","4735"
"2017-02-23","4725","4752","4695","4751","3993200","4751"
"2017-02-24","4751","4792","4751","4784","3606900","4784"
"2017-02-27","4752","4814","4746","4788","3613400","4788"
"2017-02-28","4790","4829","4751","4751","5406500","4751"
"2017-03-01","4781","4837","4780","4812","3543900","4812"
"2017-03-02","4863","4872","4828","4839","3837700","4839"
"2017-03-03","4870","4871","4822","4840","2662100","4840"
"2017-03-06","4831","4860","4821","4850","2114700","4850"
"2017-03-07","4841","4899","4834","4889","2758000","4889"
"2017-03-08","4880","4902","4831","4860","2818800","4860"
"2017-03-09","4900","4900","4876","4889","2189700","4889"
"2017-03-10","4929","4930","4886","4897","4665700","4897"
"2017-03-13","4898","4985","4898","4963","2571700","4963"
"2017-03-14","4941","4965","4920","4958","2743100","4958"
"2017-03-15","4940","4969","4924","4947","2052200","4947"
"2017-03-16","4904","4951","4904","4943","3653500","4943"
"2017-03-17","4925","4936","4906","4910","3329300","4910"
"2017-03-21","4935","4958","4912","4946","3500000","4946"
"2017-03-22","4929","4983","4917","4923","4392000","4923"
"2017-03-23","4913","4956","4900","4946","3695700","4946"
"2017-03-24","4946","5013","4939","4992","3440000","4992"
"2017-03-27","4952","4983","4919","4930","3101800","4930"
"2017-03-28","4949","4980","4923","4980","3896900","4980"
"2017-03-29","4942","4967","4905","4924","3423500","4924"
"2017-03-30","4878","4885","4816","4818","2821600","4818"
"2017-03-31","4839","4861","4752","4752","4183400","4752"
"2017-04-03","4787","4859","4776","4833","5024000","4833"
"2017-04-04","4821","4858","4797","4829","5396400","4829"
"2017-04-05","4832","4897","4832","4889","4998100","4889"
"2017-04-06","4889","4915","4847","4862","5287700","4862"
"2017-04-07","4881","4927","4862","4890","5300900","4890"
"2017-04-10","4920","4946","4888","4895","3394100","4895"
"2017-04-11","4870","4882","4838","4851","3568100","4851"
"2017-04-12","4851","4892","4834","4871","3639100","4871"
"2017-04-13","4861","4875","4813","4826","2912000","4826"
"2017-04-14","4778","4781","4723","4749","3484000","4749"
"2017-04-17","4744","4771","4737","4760","1868500","4760"
"2017-04-18","4777","4815","4764","4806","2383300","4806"
"2017-04-19","4760","4777","4723","4763","4254200","4763"
"2017-04-20","4765","4796","4755","4769","2575400","4769"
"2017-04-21","4760","4818","4751","4801","2917800","4801"
"2017-04-24","4870","4882","4837","4854","2432800","4854"
"2017-04-25","4799","4810","4760","4778","4372500","4778"
"2017-04-26","4708","4728","4684","4711","6585700","4711"
"2017-04-27","4695","4704","4672","4687","4714500","4687"
"2017-04-28","4730","4802","4728","4769","4814000","4769"
"2017-05-01","4817","4818","4774","4808","1956300","4808"
"2017-05-02","4802","4854","4791","4839","3052000","4839"
"2017-05-08","4946","5000","4937","4980","6400400","4980"
"2017-05-09","4972","5025","4964","5008","3585400","5008"
"2017-05-10","5000","5056","4998","5050","3139200","5050"
"2017-05-11","5032","5106","5030","5085","3665300","5085"
"2017-05-12","5100","5128","5086","5119","3796900","5119"
"2017-05-15","5120","5159","5116","5155","3889000","5155"
"2017-05-16","5200","5275","5192","5274","5258100","5274"
"2017-05-17","5310","5345","5256","5266","5085200","5266"
"2017-05-18","5128","5220","5122","5214","4178400","5214"
"2017-05-19","5266","5268","5200","5228","2839600","5228"
"2017-05-22","5282","5293","5216","5226","2684500","5226"
"2017-05-23","5224","5269","5199","5236","2740300","5236"
"2017-05-24","5201","5208","5164","5206","2706000","5206"
"2017-05-25","5197","5260","5191","5244","2088000","5244"
"2017-05-26","5239","5268","5213","5220","2462700","5220"
"2017-05-29","5210","5263","5203","5249","1833500","5249"
"2017-05-30","5226","5254","5207","5251","2357900","5251"
"2017-05-31","5314","5390","5307","5308","7042300","5308"
"2017-06-01","5367","5371","5309","5353","3797900","5353"
"2017-06-02","5290","5327","5255","5282","4246700","5282"
"2017-06-05","5289","5367","5270","5347","3357100","5347"
"2017-06-06","5360","5370","5311","5346","3169200","5346"
"2017-06-07","5380","5380","5290","5299","4226300","5299"
"2017-06-08","5298","5328","5266","5270","3196400","5270"
"2017-06-09","5250","5276","5226","5238","4927700","5238"
"2017-06-12","5211","5294","5108","5246","4390500","5246"
"2017-06-13","5264","5297","5246","5250","3203300","5250"
"2017-06-14","5254","5293","5243","5243","3210500","5243"
"2017-06-15","5247","5319","5246","5303","3448400","5303"
"2017-06-16","5380","5419","5343","5419","18647400","5419"
"2017-06-19","5392","5413","5375","5391","2678900","5391"
"2017-06-20","5431","5500","5420","5448","3788600","5448"
"2017-06-21","5483","5500","5445","5461","2780300","5461"
"2017-06-22","5470","5483","5431","5438","2038300","5438"
"2017-06-23","5426","5480","5418","5445","2057000","5445"
"2017-06-26","5431","5454","5423","5429","1800000","5429"
"2017-06-27","5450","5494","5449","5490","3332300","5490"
"2017-06-28","5478","5485","5423","5428","3348100","5428"
"2017-06-29","5415","5428","5373","5404","3200900","5404"
"2017-06-30","5300","5355","5285","5310","3652000","5310"
"2017-07-03","5310","5347","5310","5317","2258700","5317"
"2017-07-04","5324","5342","5302","5313","1872500","5313"
"2017-07-05","5300","5323","5289","5319","2217900","5319"
"2017-07-06","5350","5387","5309","5333","2969800","5333"
"2017-07-07","5313","5338","5284","5294","2489500","5294"
"2017-07-10","5224","5258","5183","5230","3098500","5230"
"2017-07-11","5250","5316","5233","5305","2914000","5305"
"2017-07-12","5286","5305","5253","5259","2208400","5259"
"2017-07-13","5335","5346","5317","5327","2333500","5327"
"2017-07-14","5348","5375","5325","5350","2126000","5350"
"2017-07-18","5372","5375","5311","5369","2728100","5369"
"2017-07-19","5399","5475","5399","5439","2652200","5439"
"2017-07-20","5439","5449","5401","5410","2611000","5410"
"2017-07-21","5385","5417","5361","5406","2505700","5406"
"2017-07-24","5375","5405","5353","5396","1725700","5396"
"2017-07-25","5371","5374","5319","5327","2405600","5327"
"2017-07-26","5369","5369","5300","5324","2143000","5324"
"2017-07-27","5334","5392","5324","5354","2111100","5354"
"2017-07-28","5354","5409","5354","5382","1950500","5382"
"2017-07-31","5370","5411","5365","5390","2588200","5390"
"2017-08-01","5384","5478","5368","5477","2530200","5477"
"2017-08-02","5469","5481","5416","5439","2491500","5439"
"2017-08-03","5402","5459","5371","5434","2375700","5434"
"2017-08-04","5392","5445","5377","5435","1784300","5435"
"2017-08-07","5481","5489","5420","5450","2370700","5450"
"2017-08-08","5439","5439","5388","5408","2524500","5408"
"2017-08-09","5409","5419","5327","5378","2825800","5378"
"2017-08-10","5400","5433","5363","5383","2331900","5383"
"2017-08-14","5343","5350","5234","5250","4196400","5250"
"2017-08-15","5262","5298","5247","5276","3356800","5276"
"2017-08-16","5275","5292","5243","5275","1801100","5275"
"2017-08-17","5267","5295","5254","5278","1724200","5278"
"2017-08-18","5237","5264","5215","5222","2338200","5222"
"2017-08-21","5271","5302","5246","5293","2310300","5293"
"2017-08-22","5317","5357","5308","5328","3144800","5328"
"2017-08-23","5360","5387","5340","5383","2639400","5383"
"2017-08-24","5329","5331","5270","5284","3368200","5284"
"2017-08-25","5300","5306","5272","5291","1995200","5291"
"2017-08-28","5310","5343","5275","5336","1788800","5336"
"2017-08-29","5321","5368","5288","5358","2238300","5358"
"2017-08-30","5407","5437","5374","5431","3458500","5431"
"2017-08-31","5440","5485","5417","5468","3475400","5468"
"2017-09-01","5444","5448","5325","5332","3500600","5332"
"2017-09-04","5304","5332","5259","5267","2618100","5267"
"2017-09-05","5276","5284","5233","5241","2348400","5241"
"2017-09-06","5200","5246","5190","5232","2766000","5232"
"2017-09-07","5245","5248","5196","5199","2385200","5199"
"2017-09-08","5099","5234","5099","5204","5407100","5204"
"2017-09-11","5236","5248","5202","5208","1716200","5208"
"2017-09-12","5250","5254","5173","5174","2425800","5174"
"2017-09-13","5204","5209","5166","5168","2527600","5168"
"2017-09-14","5114","5174","5105","5129","3756700","5129"
"2017-09-15","5107","5148","5101","5127","4427500","5127"
"2017-09-19","5179","5180","5115","5135","5614400","5135"
"2017-09-20","5141","5165","5117","5126","4617600","5126"
"2017-09-21","5136","5157","5105","5106","3987900","5106"
"2017-09-22","5098","5099","4999","5016","6984400","5016"
"2017-09-25","5089","5143","5070","5140","3837000","5140"
"2017-09-26","5294","5299","5238","5257","5955000","5257"
"2017-09-27","5191","5192","5130","5149","3060800","5149"
"2017-09-28","5210","5210","5118","5140","2799800","5140"
"2017-09-29","5129","5172","5111","5157","3448400","5157"
"2017-10-02","5167","5176","5092","5105","2776100","5105"
"2017-10-03","5121","5152","5112","5118","3170400","5118"
"2017-10-04","5145","5209","5135","5190","4669600","5190"
"2017-10-05","5210","5231","5197","5216","3347100","5216"
"2017-10-06","5218","5239","5173","5174","3536600","5174"
