"9433 ìåèÿ1ïî ÇjÇcÇcÇh(äî)ÅièÓïÒÅEí êMÅj","","","","",""
"2016-02-26","2892","2897.5","2804","2805.5","7082500","2805.5"
"2016-02-29","2955.5","2955.5","2877","2878","7988200","2878"
"2016-03-01","2878","2904","2860.5","2890.5","6115100","2890.5"
"2016-03-02","2975","3008","2938","2993.5","6034800","2993.5"
"2016-03-03","2985","3035","2931.5","3018","5181700","3018"
"2016-03-04","2977.5","2981.5","2865.5","2896","9165500","2896"
"2016-03-07","2865","2876","2826.5","2861","6675400","2861"
"2016-03-08","2817","2895","2817","2871.5","6389700","2871.5"
"2016-03-09","2930","2967","2892.5","2952.5","6341300","2952.5"
"2016-03-10","2957","2973","2915","2943.5","5272700","2943.5"
"2016-03-11","2944","3042","2943.5","3017","15763700","3017"
"2016-03-14","3030","3039","2996","3015","5816400","3015"
"2016-03-15","2993.5","3052","2990","3046","4483200","3046"
"2016-03-16","3040","3094","3025","3039","4200600","3039"
"2016-03-17","3063","3092","2985.5","3016","5544500","3016"
"2016-03-18","3000","3025","2948","2998.5","7324500","2998.5"
"2016-03-22","3000","3127","2996","3118","7448500","3118"
"2016-03-23","3111","3131","3085","3110","5714900","3110"
"2016-03-24","3139","3163","3096","3131","7275800","3131"
"2016-03-25","3100","3112","3059","3086","6366100","3086"
"2016-03-28","3116","3152","3105","3149","4922800","3149"
"2016-03-29","3114","3138","3101","3122","4736800","3122"
"2016-03-30","3123","3139","3066","3078","4866700","3078"
"2016-03-31","3118","3123","3003","3006","6765400","3006"
"2016-04-01","3057","3067","3009","3030","8885400","3030"
"2016-04-04","3010","3021","2963","2995.5","6373900","2995.5"
"2016-04-05","2945.5","2975.5","2842.5","2908","9359400","2908"
"2016-04-06","2915.5","2937.5","2861.5","2897","5012600","2897"
"2016-04-07","2938","3010","2930.5","2991.5","6547600","2991.5"
"2016-04-08","2984.5","3073","2918.5","3045","8648900","3045"
"2016-04-11","3053","3063","2984.5","3024","5104800","3024"
"2016-04-12","2987","3027","2962.5","2965.5","5658800","2965.5"
"2016-04-13","3009","3104","2994","3081","6976800","3081"
"2016-04-14","3134","3190","3085","3190","6873300","3190"
"2016-04-15","3151","3206","3138","3168","5364700","3168"
"2016-04-18","3075","3133","3071","3075","6181700","3075"
"2016-04-19","3189","3236","3175","3214","6954600","3214"
"2016-04-20","3210","3213","3167","3197","5403100","3197"
"2016-04-21","3245","3319","3215","3313","7385100","3313"
"2016-04-22","3298","3387","3272","3387","8487300","3387"
"2016-04-25","3339","3346","3243","3247","7253600","3247"
"2016-04-26","3183","3246","3183","3238","5696200","3238"
"2016-04-27","3247","3275","3211","3226","6328000","3226"
"2016-04-28","3305","3312","3070","3169","8738800","3169"
"2016-05-02","3011","3156","3011","3149","6970100","3149"
"2016-05-06","3200","3260","3165","3191","8207300","3191"
"2016-05-09","3164","3178","3135","3148","6035200","3148"
"2016-05-10","3185","3279","3172","3274","8661700","3274"
"2016-05-11","3324","3359","3313","3346","7656300","3346"
"2016-05-12","3396","3420","3321","3407","6058600","3407"
"2016-05-13","3440","3446","3248","3299","11463600","3299"
"2016-05-16","3243","3350","3232","3301","3925800","3301"
"2016-05-17","3340","3344","3141","3185","9069300","3185"
"2016-05-18","3135","3153","3083","3117","9721900","3117"
"2016-05-19","3084","3154","3084","3138","6795700","3138"
"2016-05-20","3156","3161","3123","3146","5497600","3146"
"2016-05-23","3169","3196","3112","3161","4452400","3161"
"2016-05-24","3147","3170","3127","3153","5439100","3153"
"2016-05-25","3220","3277","3211","3252","6138100","3252"
"2016-05-26","3253","3273","3163","3167","7048000","3167"
"2016-05-27","3190","3201","3169","3174","5008700","3174"
"2016-05-30","3205","3220","3167","3193","3731700","3193"
"2016-05-31","3191","3237","3142","3237","16475800","3237"
"2016-06-01","3237","3237","3158","3174","6483300","3174"
"2016-06-02","3146","3166","3095","3129","6491900","3129"
"2016-06-03","3148","3175","3124","3150","5296900","3150"
"2016-06-06","3149","3159","3112","3155","3804900","3155"
"2016-06-07","3173","3190","3127","3147","5079500","3147"
"2016-06-08","3148","3167","3086","3133","4878800","3133"
"2016-06-09","3132","3158","3090","3108","4462300","3108"
"2016-06-10","3038","3122","3019","3120","13160300","3120"
"2016-06-13","3077","3088","2993.5","2993.5","4853000","2993.5"
"2016-06-14","2998","3020","2943.5","2996","6823800","2996"
"2016-06-15","2998","3006","2955.5","2962","5714100","2962"
"2016-06-16","2951","2985.5","2890.5","2905.5","6206300","2905.5"
"2016-06-17","3050","3059","3002","3004","10070800","3004"
"2016-06-20","3074","3087","3017","3034","6341100","3034"
"2016-06-21","2996","3126","2994","3115","6148800","3115"
"2016-06-22","3135","3170","3109","3156","6503800","3156"
"2016-06-23","3156","3157","3090","3093","5475700","3093"
"2016-06-24","3100","3117","2831","2867","11152600","2867"
"2016-06-27","2961","3059","2893","3043","9363100","3043"
"2016-06-28","3065","3110","3023","3074","7062900","3074"
"2016-06-29","3115","3149","3073","3095","10747700","3095"
"2016-06-30","3119","3149","3096","3113","7267800","3113"
"2016-07-01","3134","3194","3118","3193","5270600","3193"
"2016-07-04","3208","3296","3202","3295","6835600","3295"
"2016-07-05","3242","3277","3222","3277","4850100","3277"
"2016-07-06","3207","3266","3192","3264","7294900","3264"
"2016-07-07","3222","3234","3161","3199","6218700","3199"
"2016-07-08","3175","3209","3133","3134","8393000","3134"
"2016-07-11","3155","3215","3141","3165","6982700","3165"
"2016-07-12","3204","3267","3191","3234","5856400","3234"
"2016-07-13","3208","3284","3176","3186","6786400","3186"
"2016-07-14","3187","3215","3162","3191","6451600","3191"
"2016-07-15","3106","3187","3106","3146","6447100","3146"
"2016-07-19","3083","3204","3074","3194","5832100","3194"
"2016-07-20","3189","3285","3173","3266","6513800","3266"
"2016-07-21","3266","3267","3193","3210","6619100","3210"
"2016-07-22","3219","3262","3214","3246","3871900","3246"
"2016-07-25","3299","3300","3198","3203","3480400","3203"
"2016-07-26","3209","3254","3193","3232","4664900","3232"
"2016-07-27","3247","3265","3186","3202","4905500","3202"
"2016-07-28","3176","3219","3138","3156","3816700","3156"
"2016-07-29","3110","3192","3029","3145","7954500","3145"
"2016-08-01","3157","3216","3114","3215","5542500","3215"
"2016-08-02","3180","3214","3151","3157","4128700","3157"
"2016-08-03","3297","3378","3249","3278","9906900","3278"
"2016-08-04","3278","3284","3188","3203","8145600","3203"
"2016-08-05","3197","3270","3197","3236","6389400","3236"
"2016-08-08","3216","3255","3216","3246","5257000","3246"
"2016-08-09","3210","3251","3210","3244","4247800","3244"
"2016-08-10","3200","3239","3184","3226","5766300","3226"
"2016-08-12","3269","3292","3219","3240","7590200","3240"
"2016-08-15","3255","3279","3247","3255","3670500","3255"
"2016-08-16","3240","3242","3179","3190","6995700","3190"
"2016-08-17","3210","3263","3206","3241","4918600","3241"
"2016-08-18","3223","3229","3159","3170","6701000","3170"
"2016-08-19","3192","3192","3090","3114","4962000","3114"
"2016-08-22","3124","3138","3090","3105","5579800","3105"
"2016-08-23","3134","3201","3133","3162","6157100","3162"
"2016-08-24","3146","3167","3125","3158","5584200","3158"
"2016-08-25","3133","3143","3091","3098","9969100","3098"
"2016-08-26","3098","3117","3077","3097","7472000","3097"
"2016-08-29","3140","3170","3129","3145","5238800","3145"
"2016-08-30","3114","3122","3086","3103","9312300","3103"
"2016-08-31","3112","3112","3028","3036","10421500","3036"
"2016-09-01","3051","3085","3036","3074","7494100","3074"
"2016-09-02","3096","3146","3090","3118","7223600","3118"
"2016-09-05","3158","3160","3111","3127","3939600","3127"
"2016-09-06","3150","3172","3139","3166","3951700","3166"
"2016-09-07","3170","3200","3155","3183","5253100","3183"
"2016-09-08","3150","3150","3104","3129","6469700","3129"
"2016-09-09","3130","3138","3086","3097","9280900","3097"
"2016-09-12","3063","3092","3056","3074","4349100","3074"
"2016-09-13","3075","3088","3050","3074","4271600","3074"
"2016-09-14","3065","3073","3043","3050","4583400","3050"
"2016-09-15","3055","3059","3015","3031","5544300","3031"
"2016-09-16","3049","3050","3005","3016","5402400","3016"
"2016-09-20","3065","3105","3056","3067","6457900","3067"
"2016-09-21","3049","3110","3021","3101","7036200","3101"
"2016-09-23","3150","3200","3118","3156","7103700","3156"
"2016-09-26","3162","3181","3140","3154","4549700","3154"
"2016-09-27","3142","3221","3117","3219","6614200","3219"
"2016-09-28","3186","3194","3109","3139","4885400","3139"
"2016-09-29","3172","3200","3157","3186","3954900","3186"
"2016-09-30","3145","3176","3112","3115","6103100","3115"
"2016-10-03","3139","3168","3126","3140","3123000","3140"
"2016-10-04","3152","3152","3115","3150","3810900","3150"
"2016-10-05","3141","3147","3090","3102","4072300","3102"
"2016-10-06","3099","3105","3070","3087","5129300","3087"
"2016-10-07","3092","3097","3035","3067","4946200","3067"
"2016-10-11","3093","3130","3071","3127","4861800","3127"
"2016-10-12","3110","3146","3084","3085","4932200","3085"
"2016-10-13","3114","3114","3041","3058","4684900","3058"
"2016-10-17","3109","3123","3074","3077","4067200","3077"
"2016-10-19","3085","3098","3071","3087","3744000","3087"
"2016-10-20","3077","3099","3066","3093","5049800","3093"
"2016-10-21","3112","3113","3053","3054","4754200","3054"
"2016-10-24","3054","3079","3047","3077","3216300","3077"
"2016-10-25","3094","3097","3075","3080","3859500","3080"
"2016-10-26","3106","3115","3075","3111","3806500","3111"
"2016-10-27","3140","3160","3116","3131","3858600","3131"
"2016-10-28","3155","3155","3122","3141","5678400","3141"
"2016-10-31","3137","3192","3129","3192","5151300","3192"
"2016-11-01","3192","3229","3165","3227","4536800","3227"
"2016-11-02","3130","3150","3054","3085","8342200","3085"
"2016-11-04","3015","3040","2986","2998","9208500","2998"
"2016-11-07","3014","3016","2976","3009","6470800","3009"
"2016-11-08","3050","3050","2961","2975","5438200","2975"
"2016-11-09","2975","3004","2836","2853","12205200","2853"
"2016-11-10","2949","2949","2875","2930.5","9891300","2930.5"
"2016-11-11","2824","2851","2790","2804","16740500","2804"
"2016-11-14","2830","2830","2786.5","2794.5","9136900","2794.5"
"2016-11-15","2794","2796","2745.5","2788.5","12989200","2788.5"
"2016-11-16","2830","2835.5","2803.5","2818.5","11079500","2818.5"
"2016-11-17","2800.5","2834.5","2793","2809.5","11047700","2809.5"
"2016-11-18","2799","2804.5","2771.5","2780.5","12175200","2780.5"
"2016-11-21","2810","2884","2805.5","2868.5","10332600","2868.5"
"2016-11-22","2900","2934","2897.5","2920.5","8871100","2920.5"
"2016-11-24","2940","2957.5","2903","2932.5","10060500","2932.5"
"2016-11-25","2930","2947","2911.5","2941","7329400","2941"
"2016-11-28","2941","2980","2940","2970.5","6550900","2970.5"
"2016-11-29","2980","2991.5","2950","2951.5","8051400","2951.5"
"2016-11-30","2933.5","2999","2930","2999","13808700","2999"
"2016-12-01","3024","3027","2982.5","2994.5","9868600","2994.5"
"2016-12-02","2990","2990","2926","2953.5","7836200","2953.5"
"2016-12-05","2963","2981","2948","2962","5191700","2962"
"2016-12-06","2946.5","2960.5","2936.5","2944","7273400","2944"
"2016-12-07","2850","2871.5","2843.5","2854.5","11205600","2854.5"
"2016-12-08","2872.5","2909","2866","2903","12699500","2903"
"2016-12-09","2880.5","2921.5","2856.5","2907","14516800","2907"
"2016-12-12","2938","2993","2932.5","2977.5","8195200","2977.5"
"2016-12-13","3005","3068","2995.5","3054","7962900","3054"
"2016-12-14","3061","3120","3057","3101","6874900","3101"
"2016-12-15","3101","3125","3077","3090","5929700","3090"
"2016-12-16","3098","3101","3078","3089","7025000","3089"
"2016-12-19","3065","3082","3056","3059","5845300","3059"
"2016-12-20","3023","3074","3022","3053","6995100","3053"
"2016-12-21","3022","3041","3011","3014","7556500","3014"
"2016-12-22","2991.5","3022","2990.5","3021","6070000","3021"
"2016-12-26","2950","2964.5","2935","2950.5","7162600","2950.5"
"2016-12-27","2940.5","2979.5","2934.5","2974","5513100","2974"
"2016-12-28","2960.5","2981.5","2955","2963.5","3738400","2963.5"
"2016-12-29","2988","2995","2961.5","2970.5","4991700","2970.5"
"2016-12-30","2978.5","2982","2946","2959.5","4502300","2959.5"
