"9433 ìåèÿ1ïî ÇjÇcÇcÇh(äî)ÅièÓïÒÅEí êMÅj","","","","",""
"date","start_value","high_value","low_value","end_value","yield","adjustment_value"
"2016-01-04","3110","3140","3023","3036","6698800","3036"
"2016-01-05","3042","3128","3028","3087","5635800","3087"
"2016-01-06","3087","3126","3026","3050","6799100","3050"
"2016-01-07","3050","3055","2973.5","3009","6786100","3009"
"2016-01-08","2954.5","3073","2954.5","3005","12619000","3005"
"2016-01-12","2953.5","3008","2942","2948.5","8228000","2948.5"
"2016-01-13","2960","2989","2891","2956","9616300","2956"
"2016-01-14","2856","2888","2799","2871","9795300","2871"
"2016-01-15","2909.5","2943.5","2802.5","2836","8519800","2836"
"2016-01-18","2789.5","2843","2767","2822.5","5685400","2822.5"
"2016-01-19","2799","2856.5","2782.5","2831","5206800","2831"
"2016-01-20","2833.5","2837.5","2747.5","2765","6881000","2765"
"2016-01-21","2765","2822.5","2694.5","2700","7615700","2700"
"2016-01-22","2750","2784.5","2698","2769","9606500","2769"
"2016-01-25","2824","2844.5","2796","2829.5","5269400","2829.5"
"2016-01-26","2801.5","2813.5","2747.5","2766","6263400","2766"
"2016-01-27","2834.5","2908","2834","2896.5","6303700","2896.5"
"2016-01-28","2887","2954","2858","2922.5","4962100","2922.5"
"2016-01-29","2963.5","3082","2893.5","3008","10752900","3008"
"2016-02-01","3148","3233","3099","3214","8304400","3214"
"2016-02-02","3199","3240","3156","3205","6758500","3205"
"2016-02-03","3156","3167","3097","3104","8882500","3104"
"2016-02-04","3086","3167","3054","3115","5426800","3115"
"2016-02-05","3091","3147","3051","3104","5031200","3104"
"2016-02-08","3104","3207","3081","3200","8355700","3200"
"2016-02-09","3074","3117","3023","3075","7603900","3075"
"2016-02-10","3005","3019","2769","2921.5","17371800","2921.5"
"2016-02-12","2770","2817","2696","2718.5","14429100","2718.5"
"2016-02-15","2799","2994.5","2790","2956.5","9508200","2956.5"
"2016-02-16","2906.5","2975","2906.5","2928","12331700","2928"
"2016-02-17","2942.5","3035","2922.5","3001","10667300","3001"
"2016-02-18","3041","3043","2944.5","2974.5","9464900","2974.5"
"2016-02-19","2954.5","2989.5","2929.5","2976","5726200","2976"
"2016-02-22","3012","3021","2968.5","3013","5641700","3013"
"2016-02-23","3013","3019","2890.5","2896","9696700","2896"
"2016-02-24","2838","2849","2796","2824.5","8169600","2824.5"
"2016-02-25","2790.5","2834.5","2780","2808.5","10663400","2808.5"
